epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,39.2514,2.19782,4.4107,3.87573,1.82539,0,0.00606,0.01227,0.00324,0.00109,0.00506,0.01072,0.00269,0.001,1.74092,3.38082,3.95394,1.65225,0,0.00030009,0.00010003,0.00030009,0.00010003,0.00030009,0.00010003,0.00030009,0.00010003
2,78.2966,2.17188,4.06219,3.89721,1.76995,0,0.00875,0.01792,0.00552,0.00234,0.00892,0.0188,0.00549,0.00206,1.55935,3.10016,3.91423,1.52793,0,0.000636684,0.000212228,0.000636684,0.000212228,0.000636684,0.000212228,0.000636684,0.000212228
3,119.731,1.96213,3.67569,3.84522,1.67013,0,0.01018,0.02131,0.00803,0.00401,0.01138,0.02595,0.00863,0.00348,1.43243,2.91811,3.8746,1.43931,0,0.000966487,0.000322162,0.000966487,0.000322162,0.000966487,0.000322162,0.000966487,0.000322162
4,164.705,1.7832,3.41937,3.78751,1.59138,0,0.01208,0.02599,0.01124,0.00582,0.01518,0.03372,0.01423,0.00583,1.30264,2.70714,3.80954,1.32961,0,0.0012895,0.000429833,0.0012895,0.000429833,0.0012895,0.000429833,0.0012895,0.000429833
5,209.54,1.60053,3.11601,3.70921,1.48154,0,0.01721,0.03955,0.02345,0.01143,0.02209,0.05124,0.0278,0.01222,1.20186,2.56411,3.73672,1.23225,0,0.00160572,0.000535241,0.00160572,0.000535241,0.00160572,0.000535241,0.00160572,0.000535241
6,257.276,1.48316,2.91188,3.64519,1.39436,0,0.02386,0.05931,0.04238,0.02097,0.02835,0.07084,0.0478,0.02175,1.13274,2.51701,3.66044,1.15036,0,0.00191515,0.000638384,0.00191515,0.000638384,0.00191515,0.000638384,0.00191515,0.000638384
7,302.201,1.36765,2.70634,3.54177,1.3183,0,0.02774,0.07255,0.05976,0.03142,0.0322,0.08457,0.06404,0.03017,1.09456,2.4869,3.60342,1.10319,0,0.00221779,0.000739265,0.00221779,0.000739265,0.00221779,0.000739265,0.00221779,0.000739265
8,346.693,1.32297,2.58895,3.43433,1.28659,0,0.03234,0.08216,0.07428,0.04245,0.03608,0.09169,0.07934,0.03859,1.08059,2.41685,3.54897,1.08019,0,0.00251364,0.000837881,0.00251364,0.000837881,0.00251364,0.000837881,0.00251364,0.000837881
9,389.745,1.31429,2.5117,3.33653,1.26223,0,0.03765,0.08797,0.08727,0.05349,0.04138,0.09669,0.0904,0.04721,1.0751,2.34939,3.48005,1.06488,0,0.0028027,0.000934234,0.0028027,0.000934234,0.0028027,0.000934234,0.0028027,0.000934234
10,431.306,1.28222,2.38194,3.14343,1.25397,0,0.04317,0.09362,0.09672,0.06157,0.04623,0.10024,0.09887,0.05421,1.07921,2.26078,3.41607,1.05967,0,0.00308497,0.00102832,0.00308497,0.00102832,0.00308497,0.00102832,0.00308497,0.00102832
11,473.268,1.31049,2.35424,2.89022,1.24573,0,0.06771,0.13446,0.13252,0.09166,0.06974,0.1385,0.13322,0.08043,1.089,2.21745,3.25475,1.06818,0,0.00336045,0.00112015,0.00336045,0.00112015,0.00336045,0.00112015,0.00336045,0.00112015
12,513.485,1.28602,2.2221,2.62215,1.2376,0,0.10748,0.2339,0.19788,0.13448,0.10755,0.23406,0.19634,0.12156,1.12045,2.16002,3.0561,1.09959,0,0.00362914,0.00120971,0.00362914,0.00120971,0.00362914,0.00120971,0.00362914,0.00120971
13,555.602,1.32621,2.23768,2.31414,1.2474,0,0.11596,0.27393,0.21128,0.142,0.11535,0.27248,0.21112,0.12719,1.16611,2.16724,2.74933,1.14197,0,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
